"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"03/05/2019","AQS","250130018","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/06/2019","AQS","250130018","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/07/2019","AQS","250130018","1","0.2","ppm","2","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/08/2019","AQS","250130018","1","0.3","ppm","3","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/23/2019","AQS","250130018","1","0.3","ppm","3","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/24/2019","AQS","250130018","1","0.9","ppm","10","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/25/2019","AQS","250130018","1","1","ppm","11","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/26/2019","AQS","250130018","1","0.3","ppm","3","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/29/2019","AQS","250130018","1","1.1","ppm","13","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/30/2019","AQS","250130018","1","1.1","ppm","13","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"03/31/2019","AQS","250130018","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/01/2019","AQS","250130018","1","0.1","ppm","1","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/04/2019","AQS","250130018","1","0.3","ppm","3","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/05/2019","AQS","250130018","1","0.8","ppm","9","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/06/2019","AQS","250130018","1","0.7","ppm","8","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/07/2019","AQS","250130018","1","1","ppm","11","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/13/2019","AQS","250130018","1","0.5","ppm","6","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/14/2019","AQS","250130018","1","1.1","ppm","13","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/15/2019","AQS","250130018","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/16/2019","AQS","250130018","1","0.1","ppm","1","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/28/2019","AQS","250130018","1","0.5","ppm","6","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/29/2019","AQS","250130018","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"04/30/2019","AQS","250130018","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"05/01/2019","AQS","250130018","1","0.6","ppm","7","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"07/24/2019","AQS","250130018","1","0.4","ppm","5","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"07/25/2019","AQS","250130018","1","0.5","ppm","6","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"07/26/2019","AQS","250130018","1","0.6","ppm","7","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"07/27/2019","AQS","250130018","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"07/28/2019","AQS","250130018","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"07/29/2019","AQS","250130018","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"07/30/2019","AQS","250130018","1","0.4","ppm","5","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"08/05/2019","AQS","250130018","1","0.3","ppm","3","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"08/06/2019","AQS","250130018","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"08/07/2019","AQS","250130018","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"08/08/2019","AQS","250130018","1","0.3","ppm","3","","7","29.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"08/11/2019","AQS","250130018","1","0.3","ppm","3","","13","54.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"08/12/2019","AQS","250130018","1","0.4","ppm","5","","24","100.0000","42101","Carbon monoxide","593","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
