"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/01/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","12","50.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/02/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/03/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/04/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/05/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/06/2016","AQS","250092006","1","0.4","ppm","5","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/07/2016","AQS","250092006","1","0.4","ppm","5","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/08/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/09/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/10/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/11/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/12/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/13/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/14/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/15/2016","AQS","250092006","1","0.5","ppm","6","LYNN WATER TREATMENT PLANT","19","79.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/16/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/17/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/18/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/19/2016","AQS","250092006","1","0.1","ppm","1","LYNN WATER TREATMENT PLANT","19","79.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/20/2016","AQS","250092006","1","0.1","ppm","1","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/21/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/22/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/23/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/24/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/25/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/26/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/27/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/28/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/29/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","19","79.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/30/2016","AQS","250092006","1","0.2","ppm","2","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"01/31/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/01/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/02/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","20","83.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
"02/03/2016","AQS","250092006","1","0.3","ppm","3","LYNN WATER TREATMENT PLANT","24","100.0000","42101","Carbon monoxide","593","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","009","Essex","42.4746421384544","-70.9708155859215"
