"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","Units","Daily AQI Value","Local Site Name","Daily Obs Count","Percent Complete","AQS Parameter Code","AQS Parameter Description","Method Code","CBSA Code","CBSA Name","State FIPS Code","State","County FIPS Code","County","Site Latitude","Site Longitude"
"01/29/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/30/2023","AQS","250010002","1","0.029","ppm","27","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"01/31/2023","AQS","250010002","1","0.04","ppm","37","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/01/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/02/2023","AQS","250010002","1","0.044","ppm","41","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/03/2023","AQS","250010002","1","0.04","ppm","37","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/04/2023","AQS","250010002","1","0.036","ppm","33","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/05/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/06/2023","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/07/2023","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/08/2023","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/09/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/10/2023","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/11/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/12/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/13/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/14/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","15","88.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/17/2023","AQS","250010002","1","0.036","ppm","33","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/18/2023","AQS","250010002","1","0.04","ppm","37","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/19/2023","AQS","250010002","1","0.044","ppm","41","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/20/2023","AQS","250010002","1","0.04","ppm","37","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/21/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/22/2023","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/23/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/24/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/25/2023","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/26/2023","AQS","250010002","1","0.038","ppm","35","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/27/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"02/28/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/01/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/02/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/03/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/04/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/05/2023","AQS","250010002","1","0.042","ppm","39","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/06/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/07/2023","AQS","250010002","1","0.044","ppm","41","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/08/2023","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/09/2023","AQS","250010002","1","0.039","ppm","36","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/10/2023","AQS","250010002","1","0.041","ppm","38","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/11/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/12/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/13/2023","AQS","250010002","1","0.045","ppm","42","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/14/2023","AQS","250010002","1","0.044","ppm","41","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/15/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/16/2023","AQS","250010002","1","0.049","ppm","45","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/17/2023","AQS","250010002","1","0.055","ppm","51","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/18/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/19/2023","AQS","250010002","1","0.045","ppm","42","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/20/2023","AQS","250010002","1","0.051","ppm","47","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/21/2023","AQS","250010002","1","0.05","ppm","46","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/22/2023","AQS","250010002","1","0.051","ppm","47","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/23/2023","AQS","250010002","1","0.046","ppm","43","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/24/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/25/2023","AQS","250010002","1","0.043","ppm","40","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/26/2023","AQS","250010002","1","0.051","ppm","47","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/27/2023","AQS","250010002","1","0.051","ppm","47","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/28/2023","AQS","250010002","1","0.045","ppm","42","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/29/2023","AQS","250010002","1","0.051","ppm","47","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/30/2023","AQS","250010002","1","0.048","ppm","44","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
"03/31/2023","AQS","250010002","1","0.053","ppm","49","TRURO NATIONAL SEASHORE","17","100.0000","44201","Ozone","087","12700","Barnstable Town, MA","25","Massachusetts","001","Barnstable","41.9758036400766","-70.0235982242767"
